Title,Published_date,Views,Likes,Comments,CategoryId,VideoId,Channel
Water Bottle Flip Challenge,2023-01-08,24715367,1649568,3696,22,tRqLAXTVoZw,MrBeast 2
Will You Bring Me Back A Present From Santa?,2023-01-05,31489076,2082544,5144,22,lbqfjEp_XWs,MrBeast 2
$10,000 Last Man Standing Challenge,2022-12-14,4656299,326559,3108,22,0kQKIMMiObs,MrBeast 2
$50,000 Rock, Paper, Scissors Tournament,2022-12-11,4694871,210177,5751,22,W3t7RWXRSLs,MrBeast 2
Spreading u2764ufe0f in Paris!,2022-12-01,52381810,2603397,14423,22,jnyGfof7Lvs,MrBeast 2
I Opened 1,000 Packages,2022-11-18,5379138,221401,7381,22,_ljhBopSEVI,MrBeast 2
MrBeast 2 Live Stream,2022-11-18,0,33,0,22,bl-bNgiy13Q,MrBeast 2
World's Most Expensive Beast Burger,2022-11-14,27709671,1609099,3041,22,lZIlFyzeZig,MrBeast 2
Where Chocolate REALLY Comes From,2022-09-17,40412557,2014215,4072,22,UPhxU9J46Qk,MrBeast 2
People Are Running To Walmart For This...,2022-09-16,8406926,316457,14044,22,Lr9O6b6jBlc,MrBeast 2
